"","popularity","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"53385",0,208689,0.416,0.771,7,-3.183,0,0.0539,0.178,1.47e-06,0.501,0.493,144.869,4
"46704",35,198400,0.617,0.982,9,-2.017,1,0.0942,0.0123,0.101,0.734,0.432,150.023,4
"5213",56,245397,0.558,0.559,5,-4.95,1,0.0273,0.13,0.000651,0.11,0.256,156.156,4
"106558",54,201381,0.65,0.324,7,-9.582,0,0.0445,0.403,0,0.131,0.228,121.933,4
"15480",51,147826,0.682,0.449,7,-10.219,1,0.0318,0.651,0.000575,0.094,0.247,82.465,4
"86467",61,224760,0.54,0.902,1,-3.577,1,0.0442,0.0142,0,0.0756,0.692,75.033,4
"14751",55,181864,0.86,0.348,0,-10.403,1,0.0388,0.178,0,0.0866,0.832,134.005,4
"7979",23,249213,0.36,0.762,2,-6.596,1,0.0339,0.00462,5.41e-06,0.117,0.373,134.805,4
"94522",61,159149,0.645,0.708,5,-6.005,0,0.0382,0.00909,0.000356,0.115,0.282,80.503,4
"105271",36,185312,0.673,0.173,11,-18.777,0,0.0378,0.873,0.86,0.0962,0.0558,113.973,4
"60804",51,220464,0.859,0.623,8,-5.339,0,0.061,0.181,0.000259,0.165,0.807,101.978,4
"38754",55,231640,0.52,0.304,11,-15.255,0,0.0284,0.816,0.366,0.0948,0.0392,103.981,4
"57168",56,179032,0.309,0.299,9,-9.039,0,0.0334,0.554,3.1e-05,0.0899,0.193,126.424,4
"38179",66,252279,0.525,0.742,10,-5.643,1,0.0311,0.0874,0.149,0.117,0.179,117.029,4
"40369",42,402308,0.431,0.485,4,-7.648,1,0.0291,0.207,0.0281,0.156,0.0901,141.017,4
"72734",26,194800,0.478,0.958,6,-4.904,0,0.0783,0.000764,2e-06,0.244,0.38,128.35,4
"2029",1,445000,0.64,0.821,7,-5.789,0,0.0732,0.00122,0.145,0.203,0.624,135.478,4
"32148",47,258292,0.694,0.907,0,-5.222,1,0.0436,0.0164,0.3,0.181,0.783,116.998,4
"113118",53,220000,0.586,0.783,10,-3.684,1,0.026,0.0617,0,0.129,0.483,95.932,4
"39762",39,208615,0.955,0.499,2,-8.993,1,0.0712,0.00252,0,0.0751,0.441,129.973,4
"101094",0,267496,0.0765,0.00291,4,-23.323,0,0.268,0,0.571,0.354,0.00184,170.023,4
"22397",24,259840,0.257,0.928,8,-8.196,1,0.0539,1.34e-05,0.864,0.365,0.203,106.483,4
"88949",45,198240,0.71,0.451,9,-8.217,1,0.133,0.137,9.85e-05,0.374,0.481,156.032,4
"37684",47,190619,0.703,0.841,8,-3.529,1,0.0522,0.572,0,0.848,0.602,125.966,4
"17588",20,102645,0.667,0.464,7,-10.581,0,0.0307,0.00996,0.17,0.0894,0.263,127.995,4
"111245",25,200853,0.341,0.494,7,-8.055,1,0.0288,0.246,0.00109,0.149,0.271,83.603,3
"78799",25,192357,0.489,0.908,4,-4.811,0,0.0375,0.00528,0.014,0.0637,0.389,167.945,4
"103695",0,136306,0.629,0.56,0,-11.455,0,0.0523,0.595,0,0.182,0.88,118.895,3
"38012",80,179499,0.682,0.9,9,-5.028,1,0.0874,0.0884,0.063,0.0685,0.937,100.721,4
"19172",0,194866,0.465,0.653,0,-5.515,1,0.0273,0.111,0.000125,0.172,0.233,143.912,4
"112507",40,323600,0.54,0.207,7,-19.951,0,0.0793,0.517,0,0.138,0.203,155.933,4
"1012",39,180000,0.708,0.782,9,-6.419,1,0.284,0.0507,0,0.251,0.717,94.038,4
"27044",0,169784,0.766,0.865,9,-4.172,0,0.0497,0.0867,0,0.138,0.655,116.007,4
"19154",3,221400,0.528,0.718,7,-6.954,1,0.0337,0.1,0,0.304,0.51,155.759,4
"17434",47,211440,0.791,0.721,6,-5.588,0,0.094,0.259,0,0.104,0.66,87.032,4
"66267",14,108200,0.808,0.179,7,-15.566,1,0.275,0.784,0,0.0983,0.795,104.993,4
"86024",3,161920,0.459,0.858,4,-3.063,1,0.0626,0.0506,0,0.184,0.855,111.682,4
"47315",72,343640,0.35,0.985,10,-5.676,0,0.122,0.00876,0.551,0.36,0.323,151.007,4
"90433",34,154960,0.571,0.831,0,-7.647,1,0.0605,0.759,0,0.415,0.884,133.016,4
"97644",46,277697,0.575,0.845,10,-4.594,0,0.0544,0.301,0,0.793,0.557,124.794,4
"105389",13,140000,0.784,0.31,3,-11.671,0,0.1,0.0166,0.722,0.114,0.387,90.012,4
"17068",53,206400,0.327,0.853,2,-3.68,1,0.0568,0.00175,0.235,0.208,0.143,99.919,4
"8015",1,197106,0.549,0.891,6,-4.044,1,0.0351,0.0141,0.00323,0.0661,0.508,111.996,4
"23430",54,180000,0.697,0.57,7,-12.017,0,0.0343,0.327,0.263,0.156,0.0716,128.045,4
"77565",43,153205,0.58,0.832,8,-6.696,1,0.0773,0.42,0,0.98,0.843,195.864,4
"5670",52,236720,0.557,0.717,7,-5.493,1,0.0397,0.0765,0,0.329,0.795,164.029,4
"69637",24,240547,0.635,0.503,4,-9.431,1,0.0325,0.639,0.000988,0.126,0.451,152.002,4
"86225",47,224500,0.594,0.823,0,-3.235,1,0.0294,0.0263,0,0.266,0.374,94.983,3
"54646",10,158773,0.623,0.857,5,-10.752,0,0.0358,0.0967,0.815,0.093,0.897,128.715,4
"57640",45,244067,0.571,0.13,4,-14.136,1,0.0356,0.844,0,0.0833,0.385,131.568,3
"99975",74,235373,0.434,0.563,11,-6.784,1,0.0268,0.0197,0.000824,0.128,0.275,104.183,4
"91248",4,165213,0.329,0.282,7,-10.863,1,0.0294,0.71,0.00265,0.158,0.393,112.944,4
"98831",21,316906,0.503,0.281,4,-12.344,1,0.515,0.943,6.18e-06,0.91,0.416,86.462,4
"5956",44,95502,0.568,0.0961,7,-29.214,0,0.0496,0.812,0.944,0.135,0.344,67.021,4
"56552",63,269933,0.521,0.298,4,-12.474,1,0.026,0.754,0.46,0.11,0.232,80.388,4
"18590",21,398613,0.431,0.789,1,-12.315,1,0.951,0.858,0,0.833,0.217,67.824,3
"61759",19,260213,0.445,0.775,2,-2.185,1,0.038,0.00993,0.00185,0.305,0.422,136.154,4
"17640",17,230500,0.587,0.767,10,-4.62,0,0.0314,0.00674,0.964,0.176,0.408,120.02,4
"93683",0,154549,0.483,0.268,4,-10.356,0,0.106,0.995,0.00538,0.0734,0.755,82.027,4
"84632",42,449133,0.467,0.704,0,-8.313,1,0.0293,0.00623,0.107,0.0861,0.188,89.658,4
"654",39,192397,0.559,0.118,7,-16.34,1,0.0421,0.979,0.935,0.109,0.289,97.1,4
"1187",30,222613,0.747,0.521,2,-9.483,0,0.0325,0.638,0.0304,0.118,0.498,120.035,4
"82731",21,145906,0.566,0.948,3,-5.272,1,0.0522,5.5e-05,0,0.148,0.574,105.079,4
"44349",49,378313,0.447,0.866,6,-5.588,1,0.0775,1.07e-05,3.87e-06,0.185,0.285,86.469,4
"73162",38,420923,0.71,0.753,11,-9.525,1,0.0543,0.0136,0.881,0.097,0.0736,129.993,4
"57227",0,142560,0.409,0.336,2,-10.479,1,0.0301,0.383,0,0.15,0.549,114.59,3
"76417",23,255866,0.388,0.177,7,-17.333,1,0.0308,0.802,0.392,0.133,0.169,95.889,4
"24731",6,426805,0.735,0.651,2,-8.063,1,0.0507,0.000789,0.875,0.607,0.267,127.004,4
"17694",46,221306,0.358,0.418,4,-7.147,1,0.0355,0.693,0.000774,0.447,0.171,120.74,4
"50169",30,226960,0.462,0.978,11,-3.634,0,0.125,1.91e-05,0.483,0.131,0.325,149.103,4
"69048",53,165576,0.452,0.0735,2,-20.761,1,0.04,0.936,0,0.083,0.276,104.066,1
"32533",36,223511,0.584,0.688,2,-8.888,1,0.0354,0.266,0.909,0.16,0.0374,105.013,4
"73008",51,332146,0.669,0.619,8,-9.02,0,0.0376,0.00122,0.817,0.0677,0.432,124.994,4
"8636",36,245146,0.517,0.386,9,-12.004,1,0.0288,0.796,0.00184,0.109,0.248,70.135,4
"44393",54,271440,0.458,0.884,6,-4.679,1,0.0495,0.000468,0.483,0.128,0.25,132.814,4
"89001",6,171880,0.709,0.56,4,-4.867,0,0.171,0.034,0,0.315,0.541,170.082,4
"104317",32,148117,0.613,0.971,3,-3.279,0,0.208,0.647,0,0.0929,0.852,147.202,4
"82562",21,183911,0.445,0.942,10,-3.589,1,0.0646,8.95e-05,0.0188,0.319,0.872,180.003,4
"20270",2,185680,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009,4
"109100",0,158771,0.601,0.91,0,-5.631,1,0.048,0.0032,0.000379,0.147,0.791,123.936,4
"85103",72,225973,0.47,0.623,0,-5.655,1,0.0302,0.392,0.000439,0.0992,0.298,77.861,4
"37323",52,273417,0.57,0.52,1,-4.885,0,0.366,0.361,0,0.13,0.64,156.856,4
"93471",0,110388,0.576,0.516,0,-8.355,1,0.0556,0.837,2.75e-05,0.0853,0.897,88.175,4
"65095",76,184677,0.564,0.682,6,-6.688,1,0.113,0.0146,0,0.123,0.551,107.597,4
"29170",58,274285,0.435,0.725,1,-6.969,1,0.0609,0.0424,3.89e-06,0.105,0.397,174.989,4
"90506",31,111493,0.419,0.288,8,-15.826,1,0.0454,0.71,0,0.274,0.795,145.557,3
"100113",42,248014,0.548,0.941,7,-4.061,1,0.0556,0.00568,1.67e-05,0.295,0.767,153.027,4
"42667",13,197840,0.155,0.966,4,-5.226,0,0.139,0.000577,0.625,0.325,0.244,153.574,4
"75964",19,265534,0.134,0.113,5,-20.493,1,0.0398,0.955,0.98,0.161,0.0876,172.762,5
"3790",0,148440,0.451,0.82,9,-4.524,1,0.242,0.0526,1.58e-06,0.148,0.39,85.758,4
